Start Date Month,Start Date Dayofweek,Start Date is weekend,Start Date quarter,lag_1_sessions,lag_7_sessions,rolling_7_mean,rolling_7_std
9,6,1,3,1.0,2.0,2.142857142857143,1.0690449676496974
9,0,0,3,1.0,3.0,2.142857142857143,0.6900655593422655
9,0,0,3,1.0,2.0,2.0,1.1547005383792515
9,1,0,3,2.0,1.0,2.0,1.0000000000000062
9,1,0,3,3.0,2.0,2.142857142857143,0.6900655593422655
9,1,0,3,4.0,2.0,2.2857142857142856,1.3801311186847083
9,2,0,3,1.0,1.0,2.0,1.0000000000000062
9,2,0,3,2.0,2.0,2.142857142857143,0.6900655593422655
9,2,0,3,2.0,1.0,2.2857142857142856,1.3801311186847083
9,3,0,3,2.0,1.0,2.142857142857143,0.8997354108424466
9,3,0,3,2.0,2.0,2.142857142857143,0.6900655593422655
9,3,0,3,3.0,4.0,2.5714285714285716,1.2724180205607034
9,4,0,3,3.0,3.0,2.4285714285714284,1.1338934190276815
9,4,0,3,1.0,3.0,2.0,0.8164965809276473
9,5,1,3,4.0,2.0,2.142857142857143,1.0690449676496403
9,5,1,3,5.0,1.0,2.7142857142857144,1.4960264830861911
9,6,1,3,3.0,1.0,3.0,1.2909944487358054
9,6,1,3,4.0,1.0,2.4285714285714284,1.2724180205606603
9,0,0,3,1.0,4.0,3.0,1.2909944487358054
9,0,0,3,4.0,3.0,2.857142857142857,1.2149857925878742
9,1,0,3,4.0,2.0,3.0,1.2909944487358054
9,1,0,3,1.0,3.0,2.142857142857143,0.8997354108424466
9,1,0,3,2.0,2.0,2.7142857142857144,1.2535663410559785
9,2,0,3,4.0,3.0,3.2857142857142856,1.2535663410560174
9,2,0,3,2.0,2.0,2.7142857142857144,1.2535663410559785
9,3,0,3,4.0,1.0,3.0,1.2909944487357727
9,3,0,3,2.0,3.0,3.142857142857143,1.3451854182690985
9,3,0,3,4.0,3.0,2.2857142857142856,1.1126972805283826
9,4,0,3,2.0,5.0,3.0,1.414213562373095
9,4,0,3,1.0,4.0,3.0,1.2909944487357727
9,4,0,3,2.0,3.0,2.142857142857143,1.0690449676497051
9,5,1,3,3.0,3.0,2.7142857142857144,1.1126972805283735
9,5,1,3,2.0,2.0,2.0,1.0000000000000062
9,5,1,3,2.0,4.0,2.7142857142857144,1.2535663410559785
9,6,1,3,1.0,4.0,2.2857142857142856,1.2535663410559712
9,6,1,3,1.0,1.0,1.8571428571428572,1.0690449676497016
9,6,1,3,1.0,1.0,2.4285714285714284,1.2724180205607034
9,0,0,3,3.0,2.0,2.142857142857143,1.0690449676496403
9,0,0,3,1.0,2.0,1.8571428571428572,1.0690449676497016
9,0,0,3,2.0,4.0,2.5714285714285716,1.1338934190276815
9,1,0,3,6.0,2.0,2.7142857142857144,1.7994708216848476
9,1,0,3,1.0,1.0,1.7142857142857142,1.1126972805283757
9,1,0,3,2.0,4.0,2.2857142857142856,0.9511897312113413
9,2,0,3,2.0,4.0,1.8571428571428572,1.0690449676497016
9,2,0,3,3.0,2.0,2.142857142857143,0.6900655593423534
9,2,0,3,3.0,4.0,2.857142857142857,1.772810520855811
9,3,0,3,3.0,1.0,2.7142857142857144,1.7043362064926648
9,3,0,3,1.0,2.0,1.4285714285714286,0.5345224838248458
9,3,0,3,1.0,2.0,2.0,0.8164965809277251
9,4,0,3,4.0,2.0,3.142857142857143,1.5735915849388613
9,4,0,3,2.0,2.0,1.4285714285714286,0.5345224838248458
9,4,0,3,4.0,3.0,2.2857142857142856,1.112697280528373
